season,team,wins,losses,win_pct,goals_favor,goals_against,goal_diff
1998,Buffalo Sabres,37,28,0.451,207,175,32
1998,Calgary Flames,30,40,0.366,211,234,-23
1998,Carolina Hurricanes,34,30,0.415,210,202,8
1998,Chicago Blackhawks,29,41,0.354,202,248,-46
1998,Colorado Avalanche,44,28,0.537,239,205,34
1998,Dallas Stars,51,19,0.622,236,168,68
1998,Detroit Red Wings,43,32,0.524,245,202,43
1998,Edmonton Oilers,33,37,0.402,230,226,4
1998,Florida Panthers,30,34,0.366,210,228,-18
1998,Los Angeles Kings,32,45,0.39,189,222,-33
1998,Montreal Canadiens,32,39,0.39,184,209,-25
1998,Nashville Predators,28,47,0.341,190,261,-71
1998,New Jersey Devils,47,24,0.573,248,196,52
1998,New York Islanders,24,48,0.293,194,244,-50
1998,New York Rangers,33,38,0.402,217,227,-10
1998,Ottawa Senators,44,23,0.537,239,179,60
1998,Philadelphia Flyers,37,26,0.451,231,196,35
1998,Phoenix Coyotes,39,31,0.476,205,197,8
1998,Pittsburgh Penguins,38,30,0.463,242,225,17
1998,San Jose Sharks,31,33,0.378,196,191,5
1998,St. Louis Blues,37,32,0.451,237,209,28
1998,Tampa Bay Lightning,19,54,0.232,179,292,-113
1998,Toronto Maple Leafs,45,30,0.549,268,231,37
1998,Vancouver Canucks,23,47,0.28,192,258,-66
1998,Washington Capitals,31,45,0.378,200,218,-18
1999,Mighty Ducks of Anaheim,34,33,0.415,217,227,-10
1999,Atlanta Thrashers,14,57,0.171,170,313,-143
1999,Boston Bruins,24,33,0.293,210,248,-38
1999,Buffalo Sabres,35,32,0.427,213,204,9
1999,Calgary Flames,31,36,0.378,211,256,-45
1999,Carolina Hurricanes,37,35,0.451,217,216,1
1999,Chicago Blackhawks,33,37,0.402,242,245,-3
1999,Colorado Avalanche,42,28,0.512,233,201,32
1999,Dallas Stars,43,23,0.524,211,184,27
1999,Detroit Red Wings,48,22,0.585,278,210,68
1999,Edmonton Oilers,32,26,0.39,226,212,14
1999,Florida Panthers,43,27,0.524,244,209,35
1999,Los Angeles Kings,39,27,0.476,245,228,17
1999,Montreal Canadiens,35,34,0.427,196,194,2
1999,Nashville Predators,28,40,0.341,199,240,-41
1999,New Jersey Devils,45,24,0.549,251,203,48
1999,New York Islanders,24,48,0.293,194,275,-81
1999,New York Rangers,29,38,0.354,218,246,-28
1999,Ottawa Senators,41,28,0.5,244,210,34
1999,Philadelphia Flyers,45,22,0.549,237,179,58
1999,Phoenix Coyotes,39,31,0.476,232,228,4
1999,Pittsburgh Penguins,37,31,0.451,241,236,5
1999,San Jose Sharks,35,30,0.427,225,214,11
1999,St. Louis Blues,51,19,0.622,248,165,83
1999,Tampa Bay Lightning,19,47,0.232,204,310,-106
1999,Toronto Maple Leafs,45,27,0.549,246,222,24
1999,Vancouver Canucks,30,29,0.366,227,237,-10
1999,Washington Capitals,44,24,0.537,227,194,33
2000,Mighty Ducks of Anaheim,25,41,0.305,188,245,-57
2000,Atlanta Thrashers,23,45,0.28,211,289,-78
2000,Boston Bruins,36,30,0.439,227,249,-22
2000,Buffalo Sabres,46,30,0.561,218,184,34
2000,Calgary Flames,27,36,0.329,197,236,-39
2000,Carolina Hurricanes,38,32,0.463,212,225,-13
2000,Columbus Blue Jackets,28,39,0.341,190,233,-43
2000,Chicago Blackhawks,29,40,0.354,210,246,-36
2000,Colorado Avalanche,52,16,0.634,270,192,78
2000,Dallas Stars,48,24,0.585,241,187,54
2000,Detroit Red Wings,49,20,0.598,253,202,51
2000,Edmonton Oilers,39,28,0.476,243,222,21
2000,Florida Panthers,22,38,0.268,200,246,-46
2000,Los Angeles Kings,38,28,0.463,252,228,24
2000,Minnesota Wild,25,39,0.305,168,210,-42
2000,Montreal Canadiens,28,40,0.341,206,232,-26
2000,Nashville Predators,34,36,0.415,186,200,-14
2000,New Jersey Devils,48,19,0.585,295,195,100
2000,New York Islanders,21,51,0.256,185,268,-83
2000,New York Rangers,33,43,0.402,250,290,-40
2000,Ottawa Senators,48,21,0.585,274,205,69
2000,Philadelphia Flyers,43,25,0.524,240,207,33
2000,Phoenix Coyotes,35,27,0.427,214,212,2
2000,Pittsburgh Penguins,42,28,0.512,281,256,25
2000,San Jose Sharks,40,27,0.488,217,192,25
2000,St. Louis Blues,43,22,0.524,249,195,54
2000,Tampa Bay Lightning,24,47,0.293,201,280,-79
2000,Toronto Maple Leafs,37,29,0.451,232,207,25
2000,Vancouver Canucks,36,28,0.439,239,238,1
2000,Washington Capitals,41,27,0.5,233,211,22
2001,Mighty Ducks of Anaheim,29,42,0.354,175,198,-23
2001,Atlanta Thrashers,19,47,0.232,187,288,-101
2001,Boston Bruins,43,24,0.524,236,201,35
2001,Buffalo Sabres,35,35,0.427,213,200,13
2001,Calgary Flames,32,35,0.39,201,220,-19
2001,Carolina Hurricanes,35,26,0.427,217,217,0
2001,Columbus Blue Jackets,22,47,0.268,164,255,-91
2001,Chicago Blackhawks,41,27,0.5,216,207,9
2001,Colorado Avalanche,45,28,0.549,212,169,43
2001,Dallas Stars,36,28,0.439,215,213,2
2001,Detroit Red Wings,51,17,0.622,251,187,64
2001,Edmonton Oilers,38,28,0.463,205,182,23
2001,Florida Panthers,22,44,0.268,180,250,-70
2001,Los Angeles Kings,40,27,0.488,214,190,24
2001,Minnesota Wild,26,35,0.317,195,238,-43
2001,Montreal Canadiens,36,31,0.439,207,209,-2
2001,Nashville Predators,28,41,0.341,196,230,-34
2001,New Jersey Devils,41,28,0.5,205,187,18
2001,New York Islanders,42,28,0.512,239,220,19
2001,New York Rangers,36,38,0.439,227,258,-31
2001,Ottawa Senators,39,27,0.476,243,208,35
2001,Philadelphia Flyers,42,27,0.512,234,192,42
2001,Phoenix Coyotes,40,27,0.488,228,210,18
2001,Pittsburgh Penguins,28,41,0.341,198,249,-51
2001,San Jose Sharks,44,27,0.537,248,199,49
2001,St. Louis Blues,43,27,0.524,227,188,39
2001,Tampa Bay Lightning,27,40,0.329,178,219,-41
2001,Toronto Maple Leafs,43,25,0.524,249,207,42
2001,Vancouver Canucks,42,30,0.512,254,211,43
2001,Washington Capitals,36,33,0.439,228,240,-12
2002,Mighty Ducks of Anaheim,40,27,0.488,203,193,10
2002,Atlanta Thrashers,31,39,0.378,226,284,-58
2002,Boston Bruins,36,31,0.439,245,237,8
2002,Buffalo Sabres,27,37,0.329,190,219,-29
2002,Calgary Flames,29,36,0.354,186,228,-42
2002,Carolina Hurricanes,22,43,0.268,171,240,-69
2002,Columbus Blue Jackets,29,42,0.354,213,263,-50
2002,Chicago Blackhawks,30,33,0.366,207,226,-19
2002,Colorado Avalanche,42,19,0.512,251,194,57
2002,Dallas Stars,46,17,0.561,245,169,76
2002,Detroit Red Wings,48,20,0.585,269,203,66
2002,Edmonton Oilers,36,26,0.439,231,230,1
2002,Florida Panthers,24,36,0.293,176,237,-61
2002,Los Angeles Kings,33,37,0.402,203,221,-18
2002,Minnesota Wild,42,29,0.512,198,178,20
2002,Montreal Canadiens,30,35,0.366,206,234,-28
2002,Nashville Predators,27,35,0.329,183,206,-23
2002,New Jersey Devils,46,20,0.561,216,166,50
2002,New York Islanders,35,34,0.427,224,231,-7
2002,New York Rangers,32,36,0.39,210,231,-21
2002,Ottawa Senators,52,21,0.634,263,182,81
2002,Philadelphia Flyers,45,20,0.549,211,166,45
2002,Phoenix Coyotes,31,35,0.378,204,230,-26
2002,Pittsburgh Penguins,27,44,0.329,189,255,-66
2002,San Jose Sharks,28,37,0.341,214,239,-25
2002,St. Louis Blues,41,24,0.5,253,222,31
2002,Tampa Bay Lightning,36,25,0.439,219,210,9
2002,Toronto Maple Leafs,44,28,0.537,236,208,28
2002,Vancouver Canucks,45,23,0.549,264,208,56
2002,Washington Capitals,39,29,0.476,224,220,4
2003,Mighty Ducks of Anaheim,29,35,0.354,184,213,-29
2003,Atlanta Thrashers,33,37,0.402,214,243,-29
2003,Boston Bruins,41,19,0.5,209,188,21
2003,Buffalo Sabres,37,34,0.451,220,221,-1
2003,Calgary Flames,42,30,0.512,200,176,24
2003,Carolina Hurricanes,28,34,0.341,172,209,-37
2003,Columbus Blue Jackets,25,45,0.305,177,238,-61
2003,Chicago Blackhawks,20,43,0.244,188,259,-71
2003,Colorado Avalanche,40,22,0.488,236,198,38
2003,Dallas Stars,41,26,0.5,194,175,19
2003,Detroit Red Wings,48,21,0.585,255,189,66
2003,Edmonton Oilers,36,29,0.439,221,208,13
2003,Florida Panthers,28,35,0.341,188,221,-33
2003,Los Angeles Kings,28,29,0.341,205,217,-12
2003,Minnesota Wild,30,29,0.366,188,183,5
2003,Montreal Canadiens,41,30,0.5,208,192,16
2003,Nashville Predators,38,29,0.463,216,217,-1
2003,New Jersey Devils,43,25,0.524,213,164,49
2003,New York Islanders,38,29,0.463,237,210,27
2003,New York Rangers,27,40,0.329,206,250,-44
2003,Ottawa Senators,43,23,0.524,262,189,73
2003,Philadelphia Flyers,40,21,0.488,229,186,43
2003,Phoenix Coyotes,22,36,0.268,188,245,-57
2003,Pittsburgh Penguins,23,47,0.28,190,303,-113
2003,San Jose Sharks,43,21,0.524,219,183,36
2003,St. Louis Blues,39,30,0.476,191,198,-7
2003,Tampa Bay Lightning,46,22,0.561,245,192,53
2003,Toronto Maple Leafs,45,24,0.549,242,204,38
2003,Vancouver Canucks,43,24,0.524,235,194,41
2003,Washington Capitals,23,46,0.28,186,253,-67
2005,Mighty Ducks of Anaheim,43,27,0.524,254,229,25
2005,Atlanta Thrashers,41,33,0.5,281,275,6
2005,Boston Bruins,29,37,0.354,230,266,-36
2005,Buffalo Sabres,52,24,0.634,281,239,42
2005,Calgary Flames,46,25,0.561,218,200,18
2005,Carolina Hurricanes,52,22,0.634,294,260,34
2005,Columbus Blue Jackets,35,43,0.427,223,279,-56
2005,Chicago Blackhawks,26,43,0.317,211,285,-74
2005,Colorado Avalanche,43,30,0.524,283,257,26
2005,Dallas Stars,53,23,0.646,265,218,47
2005,Detroit Red Wings,58,16,0.707,305,209,96
2005,Edmonton Oilers,41,28,0.5,256,251,5
2005,Florida Panthers,37,34,0.451,240,257,-17
2005,Los Angeles Kings,42,35,0.512,249,270,-21
2005,Minnesota Wild,38,36,0.463,231,215,16
2005,Montreal Canadiens,42,31,0.512,243,247,-4
2005,Nashville Predators,49,25,0.598,259,227,32
2005,New Jersey Devils,46,27,0.561,242,229,13
2005,New York Islanders,36,40,0.439,230,278,-48
2005,New York Rangers,44,26,0.537,257,215,42
2005,Ottawa Senators,52,21,0.634,314,211,103
2005,Philadelphia Flyers,45,26,0.549,267,259,8
2005,Phoenix Coyotes,38,39,0.463,246,271,-25
2005,Pittsburgh Penguins,22,46,0.268,244,316,-72
2005,San Jose Sharks,44,27,0.537,266,242,24
2005,St. Louis Blues,21,46,0.256,197,292,-95
2005,Tampa Bay Lightning,43,33,0.524,252,260,-8
2005,Toronto Maple Leafs,41,33,0.5,257,270,-13
2005,Vancouver Canucks,42,32,0.512,256,255,1
2005,Washington Capitals,29,41,0.354,237,306,-69
2006,Anaheim Ducks,48,20,0.585,258,208,50
2006,Atlanta Thrashers,43,28,0.524,246,245,1
2006,Boston Bruins,35,41,0.427,219,289,-70
2006,Buffalo Sabres,53,22,0.646,308,242,66
2006,Calgary Flames,43,29,0.524,258,226,32
2006,Carolina Hurricanes,40,34,0.488,241,253,-12
2006,Columbus Blue Jackets,33,42,0.402,201,249,-48
2006,Chicago Blackhawks,31,42,0.378,201,258,-57
2006,Colorado Avalanche,44,31,0.537,272,251,21
2006,Dallas Stars,50,25,0.61,226,197,29
2006,Detroit Red Wings,50,19,0.61,254,199,55
2006,Edmonton Oilers,32,43,0.39,195,248,-53
2006,Florida Panthers,35,31,0.427,247,257,-10
2006,Los Angeles Kings,27,41,0.329,227,283,-56
2006,Minnesota Wild,48,26,0.585,235,191,44
2006,Montreal Canadiens,42,34,0.512,245,256,-11
2006,Nashville Predators,51,23,0.622,272,212,60
2006,New Jersey Devils,49,24,0.598,216,201,15
2006,New York Islanders,40,30,0.488,248,240,8
2006,New York Rangers,42,30,0.512,242,216,26
2006,Ottawa Senators,48,25,0.585,288,222,66
2006,Philadelphia Flyers,22,48,0.268,214,303,-89
2006,Phoenix Coyotes,31,46,0.378,216,284,-68
2006,Pittsburgh Penguins,47,24,0.573,277,246,31
2006,San Jose Sharks,51,26,0.622,258,199,59
2006,St. Louis Blues,34,35,0.415,214,254,-40
2006,Tampa Bay Lightning,44,33,0.537,253,261,-8
2006,Toronto Maple Leafs,40,31,0.488,258,269,-11
2006,Vancouver Canucks,49,26,0.598,222,201,21
2006,Washington Capitals,28,40,0.341,235,286,-51
2007,Anaheim Ducks,47,27,0.573,205,191,14
2007,Atlanta Thrashers,34,40,0.415,216,272,-56
2007,Boston Bruins,41,29,0.5,212,222,-10
2007,Buffalo Sabres,39,31,0.476,255,242,13
2007,Calgary Flames,42,30,0.512,229,227,2
2007,Carolina Hurricanes,43,33,0.524,252,249,3
2007,Columbus Blue Jackets,34,36,0.415,193,218,-25
2007,Chicago Blackhawks,40,34,0.488,239,235,4
2007,Colorado Avalanche,44,31,0.537,231,219,12
2007,Dallas Stars,45,30,0.549,242,207,35
2007,Detroit Red Wings,54,21,0.659,257,184,73
2007,Edmonton Oilers,41,35,0.5,235,251,-16
2007,Florida Panthers,38,35,0.463,216,226,-10
2007,Los Angeles Kings,32,43,0.39,231,266,-35
2007,Minnesota Wild,44,28,0.537,223,218,5
2007,Montreal Canadiens,47,25,0.573,262,222,40
2007,Nashville Predators,41,32,0.5,230,229,1
2007,New Jersey Devils,46,29,0.561,206,197,9
2007,New York Islanders,35,38,0.427,194,243,-49
2007,New York Rangers,42,27,0.512,213,199,14
2007,Ottawa Senators,43,31,0.524,261,247,14
2007,Philadelphia Flyers,42,29,0.512,248,233,15
2007,Phoenix Coyotes,38,37,0.463,214,231,-17
2007,Pittsburgh Penguins,47,27,0.573,247,216,31
2007,San Jose Sharks,49,23,0.598,222,193,29
2007,St. Louis Blues,33,36,0.402,205,237,-32
2007,Tampa Bay Lightning,31,42,0.378,223,267,-44
2007,Toronto Maple Leafs,36,35,0.439,231,260,-29
2007,Vancouver Canucks,39,33,0.476,213,215,-2
2007,Washington Capitals,43,31,0.524,242,231,11
2008,Anaheim Ducks,42,33,0.512,245,238,7
2008,Atlanta Thrashers,35,41,0.427,257,280,-23
2008,Boston Bruins,53,19,0.646,274,196,78
2008,Buffalo Sabres,41,32,0.5,250,234,16
2008,Calgary Flames,46,30,0.561,254,248,6
2008,Carolina Hurricanes,45,30,0.549,239,226,13
2008,Columbus Blue Jackets,41,31,0.5,226,230,-4
2008,Chicago Blackhawks,46,24,0.561,264,216,48
2008,Colorado Avalanche,32,45,0.39,199,257,-58
2008,Dallas Stars,36,35,0.439,230,257,-27
2008,Detroit Red Wings,51,21,0.622,295,244,51
2008,Edmonton Oilers,38,35,0.463,234,248,-14
2008,Florida Panthers,41,30,0.5,234,231,3
2008,Los Angeles Kings,34,37,0.415,207,234,-27
2008,Minnesota Wild,40,33,0.488,219,200,19
2008,Montreal Canadiens,41,30,0.5,249,247,2
2008,Nashville Predators,40,34,0.488,213,233,-20
2008,New Jersey Devils,51,27,0.622,244,209,35
2008,New York Islanders,26,47,0.317,201,279,-78
2008,New York Rangers,43,30,0.524,210,218,-8
2008,Ottawa Senators,36,35,0.439,217,237,-20
2008,Philadelphia Flyers,44,27,0.537,264,238,26
2008,Phoenix Coyotes,36,39,0.439,208,252,-44
2008,Pittsburgh Penguins,45,28,0.549,264,239,25
2008,San Jose Sharks,53,18,0.646,257,204,53
2008,St. Louis Blues,41,31,0.5,233,233,0
2008,Tampa Bay Lightning,24,40,0.293,210,279,-69
2008,Toronto Maple Leafs,34,35,0.415,250,293,-43
2008,Vancouver Canucks,45,27,0.549,246,220,26
2008,Washington Capitals,50,24,0.61,272,245,27
2009,Anaheim Ducks,39,32,0.476,238,251,-13
2009,Atlanta Thrashers,35,34,0.427,234,256,-22
2009,Boston Bruins,39,30,0.476,206,200,6
2009,Buffalo Sabres,45,27,0.549,235,207,28
2009,Calgary Flames,40,32,0.488,204,210,-6
2009,Carolina Hurricanes,35,37,0.427,230,256,-26
2009,Columbus Blue Jackets,32,35,0.39,216,259,-43
2009,Chicago Blackhawks,52,22,0.634,271,209,62
2009,Colorado Avalanche,43,30,0.524,244,233,11
2009,Dallas Stars,37,31,0.451,237,254,-17
2009,Detroit Red Wings,44,24,0.537,229,216,13
2009,Edmonton Oilers,27,47,0.329,214,284,-70
2009,Florida Panthers,32,37,0.39,208,244,-36
2009,Los Angeles Kings,46,27,0.561,241,219,22
2009,Minnesota Wild,38,36,0.463,219,246,-27
2009,Montreal Canadiens,39,33,0.476,217,223,-6
2009,Nashville Predators,47,29,0.573,225,225,0
2009,New Jersey Devils,48,27,0.585,222,191,31
2009,New York Islanders,34,37,0.415,222,264,-42
2009,New York Rangers,38,33,0.463,222,218,4
